keyword,general_keyword
humedad,salud
problemas,riesgo
eliminación,riesgo
clima,riesgo
ofertas,comercial
crimen organizado,delincuencia
homicidio culposo,muerte
inconstitucionalidad,legal
vigilancia,delincuencia
disparos,delincuencia
infrastructure,infraestructura
abandono,riesgo
atención,salud
disparo,delincuencia
medidas de seguridad,seguridad
fallas de seguridad,seguridad
daño,riesgo
mandatos judiciales,legal
salubridad,salud
robo,delincuencia
cambio de nombre,riesgo
cobro,legal
balacera,delincuencia
pérdidas,riesgo
criminal,delincuencia
multitud,protesta
amenaza,riesgo
duelo,muerte
policía,delincuencia
residuos,riesgo
vulneración,riesgo
gresca,delincuencia
sismos,infraestructura
fallecidos,muerte
verificación,riesgo
arresto ciudadano,delincuencia
utilidades,comercial
sanción,legal
consumidor,riesgo
descuentos,comercial
estado de emergencia,riesgo
huelga,laboral
contradicción,legal
demanda,legal
libre empresa,comercial
discriminación,legal
sorpresa,riesgo
operativos,operativos
finanzas,comercial
hackeo,delincuencia
marca,comercial
clienta,riesgo
sobreviviente,riesgo
ayuda,ayuda
unidad,operativos
explosión,accidente
aglomeraciones,riesgo
bengala,delincuencia
observaciones,observaciones
mercado,comercial
homenaje póstumo,muerte
intimidación,riesgo
sismo,infraestructura
incompetencia,riesgo
sanitarias,salud
incidente,riesgo
pérdida de locatarios,riesgo
presupuesto,finanzas
derechos,legal
fiscalización,riesgo
violencia,delincuencia
apertura,apertura
deuda,finanzas
infraestructura,infraestructura
cierre,clausura
cuestionamiento,legal
renuncia,laboral
productos vencidos,salud
salud,salud
tiroteo,delincuencia
agresión,delincuencia
operativo,operativo
tercerización,laboral
menores,riesgo
crimen,delincuencia
reclamos,riesgo
auspiciador,comercial
fatal,muerte
animal,riesgo
ajuste de cuentas,delincuencia
escándalo,riesgo
arbitraire,riesgo
imagen,visual
problemas económicos,finanzas
mala administración,riesgo
reapertura,apertura
fisuras,infraestructura
indemnización,legal
filtración,riesgo
movilización,protesta
derechos laborales,laboral
ataque,delincuencia
fallecimiento,muerte
daños,infraestructura
fatalidad,muerte
inseguridad,delincuencia
fatalidades,muerte
